lineItem,b2016,b2017,Type,Dept
Legal Consultant,-15e3,-15e3,Expense,Global Growth
Management - General,-19987.06,-14828.31,Expense,Global Growth
Teleconference,-1e3,-550,Expense,Global Growth
Travel - Misc. (Air/Land/Hotel),-6e3,-9e3,Expense,Global Growth
Travel - Misc. (Meals),-1200,-1800,Expense,Global Growth
Advertising - Web General,88e3,77e3,Revenue,Sales
Advertising - Web GAP,18e3,18900,Revenue,Sales
Advertising - Web MS,9e3,0,Revenue,Sales
Advertising - Mailing General,35e3,67500,Revenue,Sales
Advertising - Mailing GAP,31e3,67500,Revenue,Sales
Advertising - Mailing MS,9e3,9e3,Revenue,Sales
Advertising - Mailing BAI General,0,24e3,Revenue,Sales
Advertising - Mailing BAI GAP,0,10800,Revenue,Sales
Advertising - Mailing BAI MS,0,0,Revenue,Sales
Advertising - Newsletter General,11700,7e3,Revenue,Sales
Advertising - Newsletter GAP,11700,6300,Revenue,Sales
Advertising - Newsletter MS,0,0,Revenue,Sales
Advertising - Newsletter BAI Gen,0,1250,Revenue,Sales
Advertising - Newsletter BAI GAP,0,900,Revenue,Sales
Advertising - Newsletter BAI MS,0,0,Revenue,Sales
Advertising - Remarketing - General,15e3,67500,Revenue,Sales
Advertising - Remarketing - GAP,5e4,72450,Revenue,Sales
Advertising - Remarketing - MS,0,0,Revenue,Sales
Membership Dues - GAP,75e3,75e3,Revenue,Sales
Ad Serving Fees,-0,-28770,Expense,Sales
Advertising - Remarketing Fees,-0,-90967.5,Expense,Sales
Incentive - Director of Sales,-0,-3e4,Expense,Sales
Promotional Incentives - Sales,-4771.31,-2916.48,Expense,Sales
Sales Commission - General,-21330,-24425,Expense,Sales
Sales Commission - GAP,-8e3,-6296.25,Expense,Sales
Sales Tools,-5820,-4320,Expense,Sales
Sponsor awards/F&B for meetings,-3e3,-4100,Expense,Sales
Sales Contractor - BAC,-89220,-0,Expense,Sales
Sales Contractor - General,-16062,-25868.28,Expense,Sales
Sales Contractor - Global Alliance,-618,-0,Expense,Sales
Sales Contractor - Summit,-51810,-46224.36,Expense,Sales
Sales Contractor - Virtual Chapters,-4854,-3892.68,Expense,Sales
Sales Contractor - Virtual Events,-4236,-3892.68,Expense,Sales
Management - General,-78102.65,-141480.4,Expense,Sales
Management - Global Alliance,-75669.57,-45222.59,Expense,Sales
Teleconference,-1e3,-350,Expense,Sales
Training/Educational/Networking,-9e3,-6e3,Expense,Sales
Travel - Misc. (Air/Land/Hotel),-5100,-2500,Expense,Sales
Travel - Misc. (Meals),-900,-450,Expense,Sales
BA - Days,0,7e4,Revenue,Sales
Sponsorship - MS BA DAYS,0,3e3,Revenue,Sales
Management - General,-8884.31,-52022.72,Expense,Sales
Travel - Misc. (Air/Land/Hotel),-3e3,-0,Expense,Sales
Travel - Misc. (Meals),-800,-0,Expense,Sales
Teleconference,-200,-0,Expense,Sales
Virtual Chapters Sponsorship,12e3,28e3,Revenue,Virtual Chapters
Virtual Chapters Sponsorship - Global Alliance,14900,1e4,Revenue,Virtual Chapters
Awards/Prizes/Gifts,-1e3,-1e3,Expense,Virtual Chapters
VC Incentive Program,-0,-7610.79,Expense,Virtual Chapters
Community Evangelist - Contractor,-0,-0,Expense,Virtual Chapters
Sales Commission - General,-0,-0,Expense,Virtual Chapters
Sales Commission - GAP,-0,-0,Expense,Virtual Chapters
Shirts (Summit),-900,-900,Expense,Virtual Chapters
Sponsorship - VC Share,-6435.5,-14060,Expense,Virtual Chapters
Management - General,-11548.82,-34457.56,Expense,Virtual Chapters
Management - VC (Sponsorship Maintenance),-2732.85,-4351.62,Expense,Virtual Chapters
Teleconference,-50,-0,Expense,Virtual Chapters
VC Meeting - Summit,-1204.29,-311.71,Expense,Virtual Chapters
VC Sponsorship - Management,-1800,-3050,Expense,Virtual Chapters
WIT Lunch,-0,-0,Expense,Virtual Chapters
Commission - Summit Book Store,600,300,Revenue,Community Summit
Hotel Commission,109008.6,103967.4,Revenue,Community Summit
Hotel Rebate,80684.2,51357.7,Revenue,Community Summit
PASS Store Royalty,0,6476,Revenue,Community Summit
Sponsorship - MS Appreciation Event,75e3,75e3,Revenue,Community Summit
Sponsorship - MS IOT,0,87737.15,Revenue,Community Summit
Registration - MS,129500,129500,Revenue,Community Summit
Registration - Summit,5453990.81,5716051.92,Revenue,Community Summit
Registration - One Day,0,83475,Revenue,Community Summit
Registration - Cancellation Fees,0,0,Revenue,Community Summit
Sponsorship WIT Lunch,0,5850,Revenue,Community Summit
ADA Requirements,-5e3,-13672.37,Expense,Community Summit
Audio/Visual,-125500,-116067.14,Expense,Community Summit
WIT LUNCH,-1100,-3447.04,Expense,Community Summit
Bag Stuffing Labour & Supplies,-4479.11,-5093.6,Expense,Community Summit
Computer Rental,-16500,-14261.69,Expense,Community Summit
Community Evangelist - Contractor,-4259.34,-4324.24,Expense,Community Summit
Credit Card Processing,-190889.68,-200061.82,Expense,Community Summit
Community Zone and Info Desk,-6258.07,-7597.7,Expense,Community Summit
Conv.Center Space Rental Cr F&B,95518.15,85954.32,Expense,Community Summit
Conv. Centre Internet Access,-31600,-27998.33,Expense,Community Summit
Decorator - Show,-46112.92,-63435.5,Expense,Community Summit
Delegate Gift,-47710.5,-50209.5,Expense,Community Summit
Electrical Charges,-11e3,-13217.91,Expense,Community Summit
Facility Rental,-193867.03,-185694.2,Expense,Community Summit
Facility Rental: Discounted Rent,77875,68395,Expense,Community Summit
CVB Cash Concession,5e3,5e3,Expense,Community Summit
F&B (Board),-4762.76,-3192.45,Expense,Community Summit
F&B (Registration Staff),-3048.01,-2813.25,Expense,Community Summit
F&B (PASS HQ),-18303.44,-18388.22,Expense,Community Summit
F&B (Paid Delegates),-1140684.22,-1206063.28,Expense,Community Summit
F&B (Drink Tickets),-25191.92,-20135.05,Expense,Community Summit
F&B (Comps Credit),102427.05,83274.43,Expense,Community Summit
F&B (Water Bubblers),-7695.02,-10303.5,Expense,Community Summit
F&B (Bartender/Labour),-4817.16,-3551.04,Expense,Community Summit
First Timers Event,-2924.15,-802.77,Expense,Community Summit
Insurance,-17800,-20650,Expense,Community Summit
IOT,-0,-87737.15,Expense,Community Summit
Production - Keynote,-202529.52,-207887.74,Expense,Community Summit
Office Supplies,-650,-1500,Expense,Community Summit
Onsite Labour,-7e3,-13086,Expense,Community Summit
PASS Store,-0,-4455.45,Expense,Community Summit
Pass TV,-36330.62,-30508.34,Expense,Community Summit
Postage/Shipping,-2500,-2815,Expense,Community Summit
Power Lounges,-6994.76,-2959.26,Expense,Community Summit
Printing - General,-500,-1e3,Expense,Community Summit
Printing - BOF Lunch,-250,-1722.52,Expense,Community Summit
Printing - Program Guide,-8047.26,-10547.41,Expense,Community Summit
Production - PRP,-65e3,-66975,Expense,Community Summit
Regonline Fees,-8176.5,-8635.5,Expense,Community Summit
Registration Staff - Onsite,-51385,-53545.5,Expense,Community Summit
Registration Staff - Badges,-14819,-28785,Expense,Community Summit
Registration Fees,-45425,-47975,Expense,Community Summit
Registration Staff - Set up fee,-1750,-1750,Expense,Community Summit
Registration Fees - Housing,-23100,-19740,Expense,Community Summit
Registration Staff - Travel (Air/Land/Hotel),-5234.53,-3150,Expense,Community Summit
Registration Staff - Travel - Meals,-2500,-3e3,Expense,Community Summit
Security,-4750,-6150,Expense,Community Summit
Staff Shirt - Events,-10255,-8732,Expense,Community Summit
Management - General,-99548.06,-173793.97,Expense,Community Summit
Appreciation Event - FIXED COST,-76118,-75e3,Expense,Community Summit
Appreciation Event - VARIABLE COST,-139797.62,-0,Expense,Community Summit
Teleconference,-250,-60,Expense,Community Summit
Telephone - PASS,-1500,-1e3,Expense,Community Summit
Travel - Misc. (Air/Land/Hotel),-63165.32,-45905.32,Expense,Community Summit
Travel - Misc. (Meals),-8e3,-8775,Expense,Community Summit
Vests (Staff),-1500,-500,Expense,Community Summit
Sponsorship - Advertising,0,0,Revenue,Community Summit Expo
Sponsorship - Advertising Global Alliance,0,0,Revenue,Community Summit Expo
Sponsorship - AMO (Summit),124400,146e3,Revenue,Community Summit Expo
Sponsorship - AMO GAP (Summit),26e3,48850,Revenue,Community Summit Expo
Sponsorship - Cancellation Fees,0,0,Revenue,Community Summit Expo
Sponsorship - Exhibitor (Summit),294800,213700,Revenue,Community Summit Expo
Sponsorship - Exhibitor GAP,NA,0,Revenue,Community Summit Expo
Sponsorship - MS Agreement Summit,155e3,17e4,Revenue,Community Summit Expo
Sponsorship - Package (Summit),182e3,232e3,Revenue,Community Summit Expo
Sponsorship - Package GAP (Summit),232700,266400,Revenue,Community Summit Expo
WIT Luncheon Sponsorship,0,0,Revenue,Community Summit Expo
AMO Expenses,-64814.31,-55339.86,Expense,Community Summit Expo
AMO Expenses - GAP,-10801,-21771.31,Expense,Community Summit Expo
Audio Visual,-2e3,-1551.5,Expense,Community Summit Expo
Decorator - Show,-21951.19,-24474.29,Expense,Community Summit Expo
Electrical Charges,-1500,-2e3,Expense,Community Summit Expo
Sales - Commission,-112518,-68447.5,Expense,Community Summit Expo
Sales - Hotel Rooms,-1445.88,-0,Expense,Community Summit Expo
Sales - Travel,-1100,-0,Expense,Community Summit Expo
Sales - Meals,-250,-0,Expense,Community Summit Expo
F&B (Bartender/Labour),-3878.11,-6904.8,Expense,Community Summit Expo
F&B (Drink Tickets),-26543.08,-21329.54,Expense,Community Summit Expo
F&B (Expo Reception),-122563.57,-135556.89,Expense,Community Summit Expo
Lead Retrieval,-536.39,-1578.55,Expense,Community Summit Expo
MS Sponsorship Expenses,-146585.77,-129214.96,Expense,Community Summit Expo
Registration Staff - Set up fee,-1750,-1750,Expense,Community Summit Expo
Regonline Fees,-135,-135,Expense,Community Summit Expo
Security,-3e3,-4260,Expense,Community Summit Expo
Sponsor/Exhibitor Expense,-146930.99,-142471.96,Expense,Community Summit Expo
Sponsor/Exhibitor Expense - Global Alliance,-130999.72,-101096.19,Expense,Community Summit Expo
Management - General,-44749.42,-117769.78,Expense,Community Summit Expo
Telephone - PASS,-900,-900,Expense,Community Summit Expo
WIT Lunch,-5500,-0,Expense,Community Summit Expo
Conference Proceedings (Summit),198947.66,196292.58,Revenue,Summit Programs
Conference Proceedings (Post Summit),51362.3,84955.5,Revenue,Summit Programs
Conference Proceedings,NA,17827.44,Revenue,Summit Programs
Registration - PreCon (Summit),1024531.2,1000890,Revenue,Summit Programs
Speaker Ready Room,-4800,-12594.78,Expense,Summit Programs
Awards/Prizes/Gifts,-6e3,-4e3,Expense,Summit Programs
Content Consultant,-0,-0,Expense,Summit Programs
Consultant - Program,-0,-1e4,Expense,Summit Programs
Conference Proceeding (Record Fee),-95e3,-91568.14,Expense,Summit Programs
CSS (Travel/Exp),-1e4,-1e4,Expense,Summit Programs
Decorator - Show,-4906.54,-0,Expense,Summit Programs
Speaker - Keynote,-678.79,-718.12,Expense,Summit Programs
Program Committee Volunteer Gifts/Awards,-5e3,-5e3,Expense,Summit Programs
Shirts - Speaker,-6750,-4920,Expense,Summit Programs
Labs,-0,-0,Expense,Summit Programs
Signage Production & Printing,-5186.72,-3662.83,Expense,Summit Programs
Speaker Gifts (Summit),-10823.83,-6600,Expense,Summit Programs
Speaker Experience,-500,-500,Expense,Summit Programs
Speaker Requests,-500,-438.74,Expense,Summit Programs
Speaker Expense - Community,-74756.76,-53468.71,Expense,Summit Programs
Survey Prizes,-1169.14,-1200,Expense,Summit Programs
USB Fulfillment Fee,-51143.18,-47269.73,Expense,Summit Programs
USB Shipping Fee,-0,-17827.44,Expense,Summit Programs
Audio/Visual (PreCon),-72e3,-64392.05,Expense,Summit Programs
Computer Rental,-7e3,-5694.44,Expense,Summit Programs
Convention Center Internet Access,-16e3,-13260.35,Expense,Summit Programs
Signage Production & Printing,-1065.42,-710.21,Expense,Summit Programs
Electrical Charges,-4e4,-30982.92,Expense,Summit Programs
F&B (PreCon),-231463.35,-230664.95,Expense,Summit Programs
Printing (PreCon),-17697.6,-7661.83,Expense,Summit Programs
Security,-4750,-5760,Expense,Summit Programs
Labs,-20232,-21155.8,Expense,Summit Programs
Speaker Fees/Expense (PreCon),-153693.87,-148826.52,Expense,Summit Programs
Teleconference,-0,-0,Expense,Summit Programs
Travel - Speaker (PreCon),-8e3,-5500,Expense,Summit Programs
Community Evangelist -,NA,-0,Expense,Summit Programs
Management - General (Program),-53146.11,-70916.33,Expense,Summit Programs
Management - General (PreCon Program),-11911.12,-6975.99,Expense,Summit Programs
